khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
zecchinos;[[3,4],[8,11],[16,18],[21,26]]
addison;[[3,7]]
theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
callie;[[2,4]]
zein;[[4,8],[11,12],[13,17],[20,22]]
graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
alice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
alice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
alice3;[[1,2],[7,10]]
alice  ;  [[1,10],[11,12]]
dog; [[2,3],[17, 18]]
1khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
1eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
1eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
1zecchinos;[[3,4],[8,11],[16,18],[21,26]]
1addison;[[3,7]]
1theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
1callie;[[2,4]]
1zein;[[4,8],[11,12],[13,17],[20,22]]
1graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
1jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
1alice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
1alice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
1alice3;[[1,2],[7,10]]
1alice  ;  [[1,10],[11,12]]
1dog; [[2,3],[17, 18]]
2khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
2eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
2eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
2zecchinos;[[3,4],[8,11],[16,18],[21,26]]
2addison;[[3,7]]
2theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
2callie;[[2,4]]
2zein;[[4,8],[11,12],[13,17],[20,22]]
2graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
2jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
2alice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
2alice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
2alice3;[[1,2],[7,10]]
2alice  ;  [[1,10],[11,12]]
2dog; [[2,3],[17, 18]]
3khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
3eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
3eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
3zecchinos;[[3,4],[8,11],[16,18],[21,26]]
3addison;[[3,7]]
3theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
3callie;[[2,4]]
3zein;[[4,8],[11,12],[13,17],[20,22]]
3graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
3jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
3alice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
3alice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
3alice3;[[1,2],[7,10]]
3alice  ;  [[1,10],[11,12]]
3dog; [[2,3],[17, 18]]
4khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
4eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
4eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
4zecchinos;[[3,4],[8,11],[16,18],[21,26]]
4addison;[[3,7]]
4theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
4callie;[[2,4]]
4zein;[[4,8],[11,12],[13,17],[20,22]]
4graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
4jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
4alice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
4alice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
4alice3;[[1,2],[7,10]]
4alice  ;  [[1,10],[11,12]]
4dog; [[2,3],[17, 18]]
5khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
5eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
5eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
5zecchinos;[[3,4],[8,11],[16,18],[21,26]]
5addison;[[3,7]]
5theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
5callie;[[2,4]]
5zein;[[4,8],[11,12],[13,17],[20,22]]
5graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
5jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
5alice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
5alice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
5alice3;[[1,2],[7,10]]
5alice  ;  [[1,10],[11,12]]
5dog; [[2,3],[17, 18]]
6khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
6eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
6eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
6zecchinos;[[3,4],[8,11],[16,18],[21,26]]
6addison;[[3,7]]
6theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
6callie;[[2,4]]
6zein;[[4,8],[11,12],[13,17],[20,22]]
6graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
6jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
6alice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
6alice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
6alice3;[[1,2],[7,10]]
6alice  ;  [[1,10],[11,12]]
6dog; [[2,3],[17, 18]]
7khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
7eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
7eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
7zecchinos;[[3,4],[8,11],[16,18],[21,26]]
7addison;[[3,7]]
7theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
7callie;[[2,4]]
7zein;[[4,8],[11,12],[13,17],[20,22]]
7graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
7jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
7alice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
7alice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
7alice3;[[1,2],[7,10]]
7alice  ;  [[1,10],[11,12]]
7dog; [[2,3],[17, 18]]
8khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
8eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
8eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
8zecchinos;[[3,4],[8,11],[16,18],[21,26]]
8addison;[[3,7]]
8theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
8callie;[[2,4]]
8zein;[[4,8],[11,12],[13,17],[20,22]]
8graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
